lane,frame,vehicle_count,density,heavy_ratio,avg_speed,congestion,green_time,priority_score,priority_level
Lane B,180,30,0.054,0.033,143.8,Low,25.3,18.64,Low Priority
Lane B,185,31,0.0558,0.097,145.5,Low,26.3,19.63,Medium Priority
Lane B,190,32,0.0576,0.062,149.3,Low,26.5,20.04,Medium Priority
Lane B,195,32,0.0576,0.031,186.3,Low,26.2,19.85,Medium Priority
Lane B,200,31,0.0558,0.065,157.9,Low,26.0,19.44,Medium Priority
Lane B,205,32,0.0576,0.031,151.5,Low,26.2,19.85,Medium Priority
Lane B,210,32,0.0576,0.031,139.9,Low,26.2,19.85,Medium Priority
Lane B,215,31,0.0558,0.065,163.0,Low,26.0,19.44,Medium Priority
Lane B,220,32,0.0576,0.031,148.0,Low,26.2,19.85,Medium Priority
Lane B,225,31,0.0558,0.0,146.6,Low,25.5,19.06,Low Priority
Lane B,230,32,0.0576,0.062,153.1,Low,26.5,20.04,Medium Priority
Lane B,235,32,0.0576,0.062,153.4,Low,26.5,20.04,Medium Priority
Lane B,240,32,0.0576,0.062,176.9,Low,26.5,20.04,Medium Priority
Lane B,245,33,0.0594,0.061,155.4,Low,27.0,20.64,Medium Priority
Lane B,250,33,0.0594,0.061,153.1,Low,27.0,20.64,Medium Priority
Lane B,255,33,0.0594,0.03,186.3,Low,26.7,20.46,Medium Priority
Lane B,260,34,0.0612,0.088,153.8,Low,27.7,21.42,Medium Priority
Lane B,265,34,0.0612,0.206,147.6,Low,28.6,22.11,Medium Priority
Lane B,270,35,0.063,0.171,145.0,Low,28.9,22.52,Medium Priority
Lane B,275,37,0.0666,0.189,146.3,Low,30.0,23.86,Medium Priority
Lane B,280,37,0.0666,0.189,146.9,Low,30.0,23.86,Medium Priority
Lane B,285,38,0.0684,0.132,143.4,Low,30.1,24.14,Medium Priority
Lane B,290,39,0.0702,0.051,143.7,Low,29.9,24.27,Medium Priority
Lane B,295,40,0.072,0.125,142.9,Low,31.0,25.32,Medium Priority
Lane B,300,41,0.0738,0.122,140.1,Low,31.5,25.92,Medium Priority
Lane B,305,41,0.0738,0.049,143.6,Low,30.9,25.49,Medium Priority
Lane B,310,41,0.0738,0.049,148.6,Low,30.9,25.49,Medium Priority
Lane B,315,41,0.0738,0.098,168.1,Low,31.3,25.78,Medium Priority
Lane B,320,42,0.0756,0.071,152.0,Low,31.6,26.24,Medium Priority
Lane B,325,43,0.0774,0.07,146.3,Low,32.1,26.84,Medium Priority
Lane B,330,44,0.0792,0.045,134.6,Low,32.4,27.31,Medium Priority
Lane B,335,46,0.0828,0.065,139.6,Medium,57.3,55.72,High Priority
Lane B,340,46,0.0828,0.043,145.5,Medium,57.1,55.59,High Priority
Lane B,345,45,0.081,0.067,148.5,Medium,56.5,54.53,High Priority
Lane B,350,45,0.081,0.067,147.2,Medium,56.5,54.53,High Priority
Lane B,355,44,0.0792,0.045,146.1,Low,32.4,27.31,Medium Priority
Lane B,360,43,0.0774,0.093,161.0,Low,32.2,26.98,Medium Priority
Lane B,365,44,0.0792,0.023,148.1,Low,32.2,27.18,Medium Priority
Lane B,370,44,0.0792,0.045,151.6,Low,32.4,27.31,Medium Priority
Lane B,375,45,0.081,0.089,181.5,Medium,56.7,54.66,High Priority
Lane B,380,46,0.0828,0.087,156.7,Medium,57.5,55.85,High Priority
Lane B,385,46,0.0828,0.022,152.9,Medium,57.0,55.46,High Priority
Lane B,390,44,0.0792,0.068,155.0,Low,32.5,27.45,Medium Priority
Lane B,395,44,0.0792,0.068,150.6,Low,32.5,27.45,Medium Priority
Lane B,400,45,0.081,0.044,154.4,Medium,56.4,54.39,High Priority
Lane B,405,44,0.0792,0.023,153.5,Low,32.2,27.18,Medium Priority
Lane B,410,42,0.0756,0.024,153.9,Low,31.2,25.96,Medium Priority
Lane B,415,41,0.0738,0.073,156.1,Low,31.1,25.63,Medium Priority
Lane B,420,40,0.072,0.05,155.6,Low,30.4,24.88,Medium Priority
Lane B,425,40,0.072,0.075,160.7,Low,30.6,25.03,Medium Priority
Lane B,430,39,0.0702,0.103,154.5,Low,30.3,24.58,Medium Priority
Lane B,435,39,0.0702,0.103,180.8,Low,30.3,24.58,Medium Priority
Lane B,440,39,0.0702,0.103,169.8,Low,30.3,24.58,Medium Priority
Lane B,445,41,0.0738,0.073,158.5,Low,31.1,25.63,Medium Priority
Lane B,450,41,0.0738,0.098,150.0,Low,31.3,25.78,Medium Priority
Lane B,455,41,0.0738,0.098,151.4,Low,31.3,25.78,Medium Priority
Lane B,460,40,0.072,0.1,150.1,Low,30.8,25.18,Medium Priority
Lane B,465,40,0.072,0.175,150.5,Low,31.4,25.62,Medium Priority
Lane B,470,40,0.072,0.05,149.1,Low,30.4,24.88,Medium Priority
Lane B,475,40,0.072,0.075,142.8,Low,30.6,25.03,Medium Priority
Lane B,480,40,0.072,0.05,157.1,Low,30.4,24.88,Medium Priority
Lane B,485,39,0.0702,0.077,148.0,Low,30.1,24.43,Medium Priority
Lane B,490,39,0.0702,0.103,142.7,Low,30.3,24.58,Medium Priority
Lane B,495,39,0.0702,0.051,171.8,Low,29.9,24.27,Medium Priority
Lane B,500,40,0.072,0.05,154.5,Low,30.4,24.88,Medium Priority
Lane B,505,42,0.0756,0.071,148.0,Low,31.6,26.24,Medium Priority
Lane B,510,42,0.0756,0.048,146.6,Low,31.4,26.1,Medium Priority
Lane B,515,41,0.0738,0.049,156.5,Low,30.9,25.49,Medium Priority
Lane B,520,41,0.0738,0.073,146.7,Low,31.1,25.63,Medium Priority
Lane B,525,40,0.072,0.05,146.8,Low,30.4,24.88,Medium Priority
Lane B,530,40,0.072,0.075,146.3,Low,30.6,25.03,Medium Priority
Lane B,535,40,0.072,0.025,151.4,Low,30.2,24.74,Medium Priority
Lane B,540,40,0.072,0.05,160.7,Low,30.4,24.88,Medium Priority
Lane B,545,40,0.072,0.025,147.3,Low,30.2,24.74,Medium Priority
Lane B,550,40,0.072,0.025,142.5,Low,30.2,24.74,Medium Priority
Lane B,555,40,0.072,0.05,179.0,Low,30.4,24.88,Medium Priority
Lane B,560,40,0.072,0.1,165.2,Low,30.8,25.18,Medium Priority
Lane B,565,42,0.0756,0.095,156.3,Low,31.8,26.38,Medium Priority
Lane B,570,41,0.0738,0.073,152.9,Low,31.1,25.63,Medium Priority
Lane B,575,42,0.0756,0.167,144.3,Low,32.3,26.8,Medium Priority
Lane B,580,43,0.0774,0.07,207.4,Low,32.1,26.84,Medium Priority
Lane B,585,42,0.0756,0.143,158.1,Low,32.1,26.66,Medium Priority
Lane B,590,42,0.0756,0.071,150.7,Low,31.6,26.24,Medium Priority
Lane B,595,42,0.0756,0.024,147.9,Low,31.2,25.96,Medium Priority
Lane B,600,41,0.0738,0.073,151.5,Low,31.1,25.63,Medium Priority
Lane B,605,42,0.0756,0.024,148.3,Low,31.2,25.96,Medium Priority
Lane B,610,44,0.0792,0.045,153.6,Low,32.4,27.31,Medium Priority
Lane B,615,44,0.0792,0.068,190.2,Low,32.5,27.45,Medium Priority
Lane B,620,43,0.0774,0.07,135.2,Low,32.1,26.84,Medium Priority
Lane C,5,0,0.0,0.0,0.0,Low,20.0,0.0,Low Priority
Lane C,10,0,0.0,0.0,0.0,Low,20.0,0.0,Low Priority
Lane C,15,1,0.0162,0.0,0.0,Low,20.5,0.83,Low Priority
Lane C,20,1,0.0162,0.0,2.1,Low,20.0,0.83,Low Priority
Lane C,25,1,0.0162,0.0,2.1,Low,20.0,0.83,Low Priority
Lane C,30,1,0.0162,0.0,0.0,Low,20.5,0.83,Low Priority
Lane C,35,1,0.0162,0.0,6.5,Low,18.9,0.83,Low Priority
Lane C,40,1,0.0162,0.0,2.1,Low,20.0,0.83,Low Priority
Lane C,45,1,0.0162,0.0,2.1,Low,20.0,0.83,Low Priority
Lane C,50,1,0.0162,0.0,2.1,Low,20.0,0.83,Low Priority
Lane C,55,1,0.0162,0.0,12.4,Low,17.4,0.83,Low Priority
Lane C,60,1,0.0162,0.0,2.1,Low,20.0,0.83,Low Priority
Lane C,65,1,0.0162,0.0,2.1,Low,20.0,0.83,Low Priority
Lane C,70,2,0.0324,0.0,2.9,Low,20.3,1.65,Low Priority
Lane C,75,2,0.0324,0.0,24.9,Low,14.8,1.65,Low Priority
Lane C,80,2,0.0324,0.0,26.9,Low,14.3,1.65,Low Priority
Lane C,85,2,0.0324,0.0,20.1,Low,16.0,1.65,Low Priority
Lane C,90,2,0.0324,0.0,19.6,Low,16.1,1.65,Low Priority
Lane C,95,2,0.0324,0.0,21.1,Low,15.7,1.65,Low Priority
Lane C,100,2,0.0324,0.0,18.8,Low,16.3,1.65,Low Priority
Lane C,105,2,0.0324,0.0,21.1,Low,15.7,1.65,Low Priority
Lane C,110,2,0.0324,0.0,19.7,Low,16.1,1.65,Low Priority
Lane C,115,2,0.0324,0.0,20.8,Low,15.8,1.65,Low Priority
Lane C,120,2,0.0324,0.0,20.8,Low,15.8,1.65,Low Priority
Lane C,125,2,0.0324,0.0,20.1,Low,16.0,1.65,Low Priority
Lane C,130,2,0.0324,0.0,19.7,Low,16.1,1.65,Low Priority
Lane C,135,2,0.0324,0.0,20.8,Low,15.8,1.65,Low Priority
Lane C,140,2,0.0324,0.0,18.6,Low,16.4,1.65,Low Priority
Lane C,145,2,0.0324,0.0,19.7,Low,16.1,1.65,Low Priority
Lane C,150,2,0.0324,0.0,21.2,Low,15.7,1.65,Low Priority
Lane C,155,2,0.0324,0.0,19.7,Low,16.1,1.65,Low Priority
Lane C,160,3,0.0486,0.0,19.7,Low,16.6,2.48,Low Priority
Lane C,165,3,0.0486,0.0,16.0,Low,17.5,2.48,Low Priority
Lane C,170,3,0.0486,0.0,14.5,Low,17.9,2.48,Low Priority
Lane C,175,3,0.0486,0.0,14.5,Low,17.9,2.48,Low Priority
Lane C,180,3,0.0486,0.0,14.5,Low,17.9,2.48,Low Priority
Lane C,185,3,0.0486,0.0,15.9,Low,17.5,2.48,Low Priority
Lane C,190,3,0.0486,0.0,16.0,Low,17.5,2.48,Low Priority
Lane C,195,3,0.0486,0.0,17.4,Low,17.1,2.48,Low Priority
Lane C,200,3,0.0486,0.0,18.7,Low,16.8,2.48,Low Priority
Lane C,205,3,0.0486,0.0,13.1,Low,18.2,2.48,Low Priority
Lane C,210,2,0.0324,0.0,37.3,Low,11.7,1.65,Low Priority
Lane C,215,2,0.0324,0.0,22.8,Low,15.3,1.65,Low Priority
Lane C,220,2,0.0324,0.0,24.9,Low,14.8,1.65,Low Priority
Lane C,225,2,0.0324,0.0,23.9,Low,15.0,1.65,Low Priority
Lane C,230,2,0.0324,0.0,22.9,Low,15.3,1.65,Low Priority
Lane C,235,1,0.0162,0.0,10.3,Low,17.9,0.83,Low Priority
Lane C,240,1,0.0162,0.0,8.3,Low,18.4,0.83,Low Priority
Lane C,245,1,0.0162,0.0,8.3,Low,18.4,0.83,Low Priority
Lane C,250,1,0.0162,0.0,8.3,Low,18.4,0.83,Low Priority
Lane C,255,1,0.0162,0.0,10.3,Low,17.9,0.83,Low Priority
Lane C,260,1,0.0162,0.0,8.3,Low,18.4,0.83,Low Priority
Lane C,265,1,0.0162,1.0,8.5,Low,26.4,6.71,Low Priority
Lane C,270,1,0.0162,0.0,8.5,Low,18.4,0.83,Low Priority
Lane C,275,1,0.0162,0.0,10.6,Low,17.9,0.83,Low Priority
Lane C,280,1,0.0162,0.0,8.3,Low,18.4,0.83,Low Priority
Lane C,285,1,0.0162,0.0,8.3,Low,18.4,0.83,Low Priority
Lane C,290,1,0.0162,0.0,10.3,Low,17.9,0.83,Low Priority
Lane C,295,1,0.0162,0.0,8.3,Low,18.4,0.83,Low Priority
Lane C,300,1,0.0162,0.0,10.3,Low,17.9,0.83,Low Priority
Lane C,305,1,0.0162,0.0,8.3,Low,18.4,0.83,Low Priority
Lane C,310,1,0.0162,0.0,8.3,Low,18.4,0.83,Low Priority
Lane C,315,1,0.0162,0.0,10.6,Low,17.9,0.83,Low Priority
Lane C,320,1,0.0162,0.0,8.5,Low,18.4,0.83,Low Priority
Lane C,325,1,0.0162,0.0,8.5,Low,18.4,0.83,Low Priority
Lane C,330,1,0.0162,0.0,8.3,Low,18.4,0.83,Low Priority
Lane C,335,1,0.0162,0.0,8.3,Low,18.4,0.83,Low Priority
Lane C,340,1,0.0162,0.0,10.3,Low,17.9,0.83,Low Priority
Lane C,345,1,0.0162,0.0,8.3,Low,18.4,0.83,Low Priority
Lane C,350,1,0.0162,0.0,8.3,Low,18.4,0.83,Low Priority
Lane C,355,1,0.0162,0.0,10.3,Low,17.9,0.83,Low Priority
Lane C,360,1,0.0162,0.0,8.3,Low,18.4,0.83,Low Priority
Lane C,365,0,0.0,0.0,0.0,Low,20.0,0.0,Low Priority
Lane C,370,0,0.0,0.0,0.0,Low,20.0,0.0,Low Priority
Lane C,375,0,0.0,0.0,0.0,Low,20.0,0.0,Low Priority
Lane C,380,0,0.0,0.0,0.0,Low,20.0,0.0,Low Priority
Lane C,385,0,0.0,0.0,0.0,Low,20.0,0.0,Low Priority
Lane C,390,0,0.0,0.0,0.0,Low,20.0,0.0,Low Priority
Lane C,395,0,0.0,0.0,0.0,Low,20.0,0.0,Low Priority
Lane C,400,0,0.0,0.0,0.0,Low,20.0,0.0,Low Priority
Lane C,405,0,0.0,0.0,0.0,Low,20.0,0.0,Low Priority
Lane C,410,0,0.0,0.0,0.0,Low,20.0,0.0,Low Priority
Lane C,415,0,0.0,0.0,0.0,Low,20.0,0.0,Low Priority
Lane C,420,0,0.0,0.0,0.0,Low,20.0,0.0,Low Priority
Lane C,425,0,0.0,0.0,0.0,Low,20.0,0.0,Low Priority
Lane C,430,1,0.0162,0.0,0.0,Low,20.5,0.83,Low Priority
Lane C,435,1,0.0162,0.0,15.1,Low,16.7,0.83,Low Priority
Lane C,440,1,0.0162,0.0,16.7,Low,16.3,0.83,Low Priority
Lane C,445,1,0.0162,0.0,14.5,Low,16.9,0.83,Low Priority
Lane C,450,1,0.0162,0.0,29.0,Low,13.2,0.83,Low Priority
Lane C,455,1,0.0162,0.0,14.6,Low,16.9,0.83,Low Priority
Lane C,460,1,0.0162,0.0,14.6,Low,16.9,0.83,Low Priority
Lane C,465,1,0.0162,0.0,14.5,Low,16.9,0.83,Low Priority
Lane C,470,1,0.0162,0.0,12.6,Low,17.4,0.83,Low Priority
Lane C,475,1,0.0162,0.0,14.6,Low,16.9,0.83,Low Priority
Lane C,480,1,0.0162,0.0,14.5,Low,16.9,0.83,Low Priority
Lane C,485,1,0.0162,0.0,14.6,Low,16.9,0.83,Low Priority
Lane C,490,2,0.0324,0.0,14.6,Low,17.4,1.65,Low Priority
Lane C,495,2,0.0324,0.0,76.6,Low,11.0,1.65,Low Priority
Lane C,500,2,0.0324,0.0,102.5,Low,11.0,1.65,Low Priority
Lane C,505,2,0.0324,0.0,147.1,Low,11.0,1.65,Low Priority
Lane C,510,2,0.0324,0.0,162.6,Low,11.0,1.65,Low Priority
Lane C,515,2,0.0324,0.0,183.2,Low,11.0,1.65,Low Priority
Lane C,520,2,0.0324,0.0,183.2,Low,11.0,1.65,Low Priority
Lane C,525,2,0.0324,0.0,128.4,Low,11.0,1.65,Low Priority
Lane C,530,3,0.0486,0.0,96.3,Low,11.5,2.48,Low Priority
Lane C,535,3,0.0486,0.0,59.4,Low,11.5,2.48,Low Priority
Lane C,540,3,0.0486,0.0,77.3,Low,11.5,2.48,Low Priority
Lane C,545,4,0.0648,0.0,76.7,Low,12.0,3.31,Low Priority
Lane C,550,4,0.0648,0.0,113.9,Low,12.0,3.31,Low Priority
Lane C,555,5,0.081,0.0,126.8,Medium,24.0,7.07,Low Priority
Lane C,560,5,0.081,0.0,111.0,Medium,24.0,7.07,Low Priority
Lane C,565,5,0.081,0.0,118.4,Medium,24.0,7.07,Low Priority
Lane C,570,5,0.081,0.0,124.2,Medium,24.0,7.07,Low Priority
Lane C,575,5,0.081,0.0,106.9,Medium,24.0,7.07,Low Priority
Lane C,580,5,0.081,0.0,103.5,Medium,24.0,7.07,Low Priority
Lane C,585,5,0.081,0.0,114.3,Medium,24.0,7.07,Low Priority
Lane C,590,5,0.081,0.0,125.0,Medium,24.0,7.07,Low Priority
Lane C,595,5,0.081,0.0,132.9,Medium,24.0,7.07,Low Priority
Lane C,600,5,0.081,0.0,143.3,Medium,24.0,7.07,Low Priority
Lane C,605,4,0.0648,0.0,193.1,Low,12.0,3.31,Low Priority
Lane C,610,4,0.0648,0.0,134.5,Low,12.0,3.31,Low Priority
Lane C,615,4,0.0648,0.0,135.7,Low,12.0,3.31,Low Priority
Lane C,620,5,0.081,0.0,135.1,Medium,24.0,7.07,Low Priority
Lane C,625,5,0.081,0.0,131.2,Medium,24.0,7.07,Low Priority
Lane C,630,6,0.0972,0.0,130.8,Medium,24.8,8.49,Low Priority
Lane C,635,6,0.0972,0.0,116.7,Medium,24.8,8.49,Low Priority
Lane C,640,6,0.0972,0.0,115.9,Medium,24.8,8.49,Low Priority
Lane C,645,6,0.0972,0.0,114.9,Medium,24.8,8.49,Low Priority
Lane C,650,6,0.0972,0.0,117.0,Medium,24.8,8.49,Low Priority
Lane C,655,6,0.0972,0.0,110.4,Medium,24.8,8.49,Low Priority
Lane C,660,6,0.0972,0.0,109.4,Medium,24.8,8.49,Low Priority
Lane C,665,6,0.0972,0.0,112.5,Medium,24.8,8.49,Low Priority
Lane C,670,6,0.0972,0.0,115.9,Medium,24.8,8.49,Low Priority
Lane C,675,6,0.0972,0.0,121.1,Medium,24.8,8.49,Low Priority
Lane C,680,6,0.0972,0.0,127.0,Medium,24.8,8.49,Low Priority
Lane C,685,5,0.081,0.0,159.8,Medium,24.0,7.07,Low Priority
Lane C,690,4,0.0648,0.0,160.4,Low,12.0,3.31,Low Priority
Lane C,695,4,0.0648,0.0,114.4,Low,12.0,3.31,Low Priority
Lane C,700,5,0.081,0.0,114.9,Medium,24.0,7.07,Low Priority
Lane C,705,6,0.0972,0.0,96.9,Medium,24.8,8.49,Low Priority
Lane C,710,6,0.0972,0.0,125.6,Medium,24.8,8.49,Low Priority
Lane C,715,6,0.0972,0.0,111.5,Medium,24.8,8.49,Low Priority
Lane C,720,6,0.0972,0.0,114.2,Medium,24.8,8.49,Low Priority
Lane C,725,6,0.0972,0.0,118.4,Medium,24.8,8.49,Low Priority
Lane C,730,6,0.0972,0.0,121.1,Medium,24.8,8.49,Low Priority
Lane C,735,5,0.081,0.0,106.0,Medium,24.0,7.07,Low Priority
Lane C,740,5,0.081,0.0,109.8,Medium,24.0,7.07,Low Priority
Lane C,745,5,0.081,0.0,130.0,Medium,24.0,7.07,Low Priority
Lane C,750,5,0.081,0.0,144.1,Medium,24.0,7.07,Low Priority
Lane C,755,5,0.081,0.0,95.7,Medium,24.0,7.07,Low Priority
Lane C,760,4,0.0648,0.0,98.4,Low,12.0,3.31,Low Priority
Lane C,765,4,0.0648,0.0,98.4,Low,12.0,3.31,Low Priority
Lane C,770,4,0.0648,0.0,97.9,Low,12.0,3.31,Low Priority
Lane C,775,3,0.0486,0.333,93.2,Low,14.2,4.44,Low Priority
Lane C,780,3,0.0486,0.333,92.5,Low,14.2,4.44,Low Priority
Lane C,785,4,0.0648,0.25,92.5,Low,14.0,4.78,Low Priority
Lane C,790,4,0.0648,0.25,89.0,Low,14.0,4.78,Low Priority
Lane C,795,4,0.0648,0.0,88.5,Low,12.0,3.31,Low Priority
Lane C,800,4,0.0648,0.0,89.6,Low,12.0,3.31,Low Priority
Lane C,805,4,0.0648,0.0,89.6,Low,12.0,3.31,Low Priority
Lane C,810,4,0.0648,0.25,89.6,Low,14.0,4.78,Low Priority
Lane C,815,4,0.0648,0.25,89.1,Low,14.0,4.78,Low Priority
Lane C,820,4,0.0648,0.25,89.6,Low,14.0,4.78,Low Priority
Lane C,825,4,0.0648,0.5,91.1,Low,16.0,6.25,Low Priority
Lane D,5,0,0.0,2.0,0.0,Low,36.0,11.76,Low Priority
Lane D,10,0,0.0,2.0,0.0,Low,36.0,11.76,Low Priority
Lane D,15,21,0.1512,0.095,0.0,Medium,47.6,27.49,Medium Priority
Lane D,20,21,0.1512,0.095,20.8,Medium,42.4,27.49,Medium Priority
Lane D,25,21,0.1512,0.095,23.7,Medium,41.6,27.49,Medium Priority
Lane D,30,21,0.1512,0.095,23.2,Medium,41.8,27.49,Medium Priority
Lane D,35,22,0.1584,0.045,23.1,Medium,42.2,28.48,Medium Priority
Lane D,40,22,0.1584,0.091,21.9,Medium,42.9,28.75,Medium Priority
Lane D,45,23,0.1655,0.13,20.9,High,59.6,43.79,High Priority
Lane D,50,23,0.1655,0.087,21.8,High,59.0,43.53,High Priority
Lane D,55,23,0.1655,0.087,20.9,High,59.3,43.53,High Priority
Lane D,60,23,0.1655,0.043,17.7,High,59.7,43.28,High Priority
Lane D,65,24,0.1727,0.0,19.5,High,59.5,44.89,High Priority
Lane D,70,24,0.1727,0.042,22.8,High,59.0,45.14,High Priority
Lane D,75,25,0.1799,0.04,19.7,High,60.0,47.0,High Priority
Lane D,80,25,0.1799,0.04,20.7,High,60.0,47.0,High Priority
Lane D,85,26,0.1871,0.038,22.1,High,60.0,48.86,High Priority
Lane D,90,27,0.1943,0.0,20.6,High,60.0,50.5,High Priority
Lane D,95,28,0.2015,0.0,19.6,High,60.0,52.37,High Priority
Lane D,100,28,0.2015,0.036,18.2,High,60.0,52.59,High Priority
Lane D,105,29,0.2087,0.034,17.1,High,60.0,54.45,High Priority
Lane D,110,29,0.2087,0.069,18.3,High,60.0,54.65,High Priority
Lane D,115,29,0.2087,0.0,18.3,High,60.0,54.25,High Priority
Lane D,120,29,0.2087,0.0,19.5,High,60.0,54.25,High Priority
Lane D,125,29,0.2087,0.0,20.1,High,60.0,54.25,High Priority
Lane D,130,30,0.2159,0.0,20.6,High,60.0,56.12,High Priority
Lane D,135,30,0.2159,0.0,20.1,High,60.0,56.12,High Priority
Lane D,140,32,0.2303,0.0,17.4,High,60.0,59.86,High Priority
Lane D,145,32,0.2303,0.031,20.6,High,60.0,60.04,High Priority
Lane D,150,32,0.2303,0.0,21.0,High,60.0,59.86,High Priority
Lane D,155,32,0.2303,0.0,21.8,High,60.0,59.86,High Priority
Lane D,160,32,0.2303,0.031,22.4,High,60.0,60.04,High Priority
Lane D,165,32,0.2303,0.031,21.7,High,60.0,60.04,High Priority
Lane D,170,31,0.2231,0.032,22.1,High,60.0,58.17,High Priority
Lane D,175,31,0.2231,0.032,21.4,High,60.0,58.17,High Priority
Lane D,180,31,0.2231,0.032,21.1,High,60.0,58.17,High Priority
Lane D,185,31,0.2231,0.032,20.7,High,60.0,58.17,High Priority
Lane D,190,31,0.2231,0.032,21.0,High,60.0,58.17,High Priority
Lane D,195,31,0.2231,0.032,20.0,High,60.0,58.17,High Priority
Lane D,200,31,0.2231,0.0,18.6,High,60.0,57.99,High Priority
Lane D,205,31,0.2231,0.0,20.0,High,60.0,57.99,High Priority
Lane D,210,31,0.2231,0.0,22.3,High,60.0,57.99,High Priority
Lane D,215,31,0.2231,0.0,22.0,High,60.0,57.99,High Priority
Lane D,220,31,0.2231,0.0,18.4,High,60.0,57.99,High Priority
Lane D,225,31,0.2231,0.0,21.4,High,60.0,57.99,High Priority
Lane D,230,31,0.2231,0.0,18.4,High,60.0,57.99,High Priority
Lane D,235,31,0.2231,0.0,17.5,High,60.0,57.99,High Priority
Lane D,240,31,0.2231,0.0,20.4,High,60.0,57.99,High Priority
Lane D,245,32,0.2303,0.0,20.2,High,60.0,59.86,High Priority
Lane D,250,32,0.2303,0.0,19.9,High,60.0,59.86,High Priority
Lane D,255,32,0.2303,0.0,19.6,High,60.0,59.86,High Priority
Lane D,260,32,0.2303,0.0,20.2,High,60.0,59.86,High Priority
Lane D,265,32,0.2303,0.0,18.1,High,60.0,59.86,High Priority
Lane D,270,32,0.2303,0.0,19.0,High,60.0,59.86,High Priority
Lane D,275,33,0.2375,0.0,23.6,High,60.0,61.73,High Priority
Lane D,280,34,0.2447,0.0,71.5,High,60.0,63.6,High Priority
Lane D,285,34,0.2447,0.0,19.5,High,60.0,63.6,High Priority
Lane D,290,34,0.2447,0.0,18.1,High,60.0,63.6,High Priority
Lane D,295,33,0.2375,0.0,18.0,High,60.0,61.73,High Priority
Lane D,300,33,0.2375,0.0,22.5,High,60.0,61.73,High Priority
Lane D,305,33,0.2375,0.0,19.5,High,60.0,61.73,High Priority
Lane D,310,33,0.2375,0.0,18.6,High,60.0,61.73,High Priority
Lane D,315,33,0.2375,0.03,18.1,High,60.0,61.9,High Priority
Lane D,320,33,0.2375,0.0,18.0,High,60.0,61.73,High Priority
Lane D,325,34,0.2447,0.029,18.0,High,60.0,63.77,High Priority
Lane D,330,35,0.2519,0.0,21.2,High,60.0,65.47,High Priority
Lane D,335,35,0.2519,0.029,22.0,High,60.0,65.64,High Priority
Lane D,340,35,0.2519,0.029,20.0,High,60.0,65.64,High Priority
Lane D,345,34,0.2447,0.0,20.1,High,60.0,63.6,High Priority
Lane D,350,32,0.2303,0.0,20.8,High,60.0,59.86,High Priority
Lane D,355,32,0.2303,0.0,20.4,High,60.0,59.86,High Priority
Lane D,360,32,0.2303,0.0,20.9,High,60.0,59.86,High Priority
Lane D,365,32,0.2303,0.0,20.2,High,60.0,59.86,High Priority
Lane D,370,32,0.2303,0.0,22.2,High,60.0,59.86,High Priority
Lane D,375,32,0.2303,0.0,20.1,High,60.0,59.86,High Priority
Lane D,380,33,0.2375,0.0,20.2,High,60.0,61.73,High Priority
Lane D,385,33,0.2375,0.03,18.3,High,60.0,61.9,High Priority
Lane D,390,34,0.2447,0.059,18.9,High,60.0,63.95,High Priority
Lane D,395,33,0.2375,0.061,17.0,High,60.0,62.09,High Priority
Lane D,400,33,0.2375,0.061,19.4,High,60.0,62.09,High Priority
Lane D,405,33,0.2375,0.061,20.3,High,60.0,62.09,High Priority
Lane D,410,35,0.2519,0.057,18.1,High,60.0,65.8,High Priority
Lane D,415,35,0.2519,0.057,19.5,High,60.0,65.8,High Priority
Lane D,420,35,0.2519,0.057,17.9,High,60.0,65.8,High Priority
Lane D,425,35,0.2519,0.086,19.2,High,60.0,65.97,High Priority
Lane D,430,34,0.2447,0.059,25.8,High,60.0,63.95,High Priority
Lane D,435,33,0.2375,0.061,25.7,High,60.0,62.09,High Priority
Lane D,440,32,0.2303,0.062,21.7,High,60.0,60.22,High Priority
Lane D,445,32,0.2303,0.062,22.6,High,60.0,60.22,High Priority
Lane D,450,32,0.2303,0.062,20.0,High,60.0,60.22,High Priority
Lane D,455,33,0.2375,0.061,22.7,High,60.0,62.09,High Priority
Lane D,460,33,0.2375,0.061,20.5,High,60.0,62.09,High Priority
Lane D,465,33,0.2375,0.061,19.0,High,60.0,62.09,High Priority
Lane D,470,32,0.2303,0.031,19.3,High,60.0,60.04,High Priority
Lane D,475,33,0.2375,0.061,20.5,High,60.0,62.09,High Priority
Lane D,480,33,0.2375,0.03,18.7,High,60.0,61.9,High Priority
Lane D,485,33,0.2375,0.0,17.8,High,60.0,61.73,High Priority
Lane D,490,33,0.2375,0.0,18.8,High,60.0,61.73,High Priority
Lane D,495,33,0.2375,0.03,25.4,High,60.0,61.9,High Priority
Lane D,500,33,0.2375,0.0,18.0,High,60.0,61.73,High Priority
Lane D,505,33,0.2375,0.03,21.7,High,60.0,61.9,High Priority
Lane D,510,33,0.2375,0.061,22.8,High,60.0,62.09,High Priority
Lane D,515,32,0.2303,0.031,21.6,High,60.0,60.04,High Priority
Lane D,520,32,0.2303,0.0,19.1,High,60.0,59.86,High Priority
Lane D,525,32,0.2303,0.031,17.5,High,60.0,60.04,High Priority
Lane D,530,32,0.2303,0.031,17.1,High,60.0,60.04,High Priority
Lane D,535,31,0.2231,0.032,18.0,High,60.0,58.17,High Priority
